valor_analogico,voltaje,calidad_aire
333,0.27,Buena
338,0.27,Buena
333,0.27,Buena
336,0.27,Buena
330,0.27,Buena
337,0.27,Buena
325,0.26,Buena
331,0.27,Buena
320,0.26,Buena
321,0.26,Buena
318,0.26,Buena
345,0.28,Buena
339,0.27,Buena
338,0.27,Buena
331,0.27,Buena
339,0.27,Buena
342,0.28,Buena
329,0.27,Buena
341,0.27,Buena
336,0.27,Buena
338,0.27,Buena
334,0.27,Buena
336,0.27,Buena
323,0.26,Buena
345,0.28,Buena
326,0.26,Buena
330,0.27,Buena
336,0.27,Buena
327,0.26,Buena
331,0.27,Buena
337,0.27,Buena
344,0.28,Buena
321,0.26,Buena
329,0.27,Buena
326,0.26,Buena
336,0.27,Buena
331,0.27,Buena
336,0.27,Buena
331,0.27,Buena
333,0.27,Buena
335,0.27,Buena
339,0.27,Buena
332,0.27,Buena
336,0.27,Buena
329,0.27,Buena
320,0.26,Buena
342,0.28,Buena
333,0.27,Buena
324,0.26,Buena
333,0.27,Buena
332,0.27,Buena
336,0.27,Buena
331,0.27,Buena
336,0.27,Buena
337,0.27,Buena
339,0.27,Buena
331,0.27,Buena
330,0.27,Buena
331,0.27,Buena
342,0.28,Buena
326,0.26,Buena
342,0.28,Buena
336,0.27,Buena
336,0.27,Buena
338,0.27,Buena
337,0.27,Buena
329,0.27,Buena
329,0.27,Buena
332,0.27,Buena
336,0.27,Buena
337,0.27,Buena
331,0.27,Buena
334,0.27,Buena
333,0.27,Buena
334,0.27,Buena
338,0.27,Buena
341,0.27,Buena
333,0.27,Buena
336,0.27,Buena
339,0.27,Buena
340,0.27,Buena
336,0.27,Buena
337,0.27,Buena
336,0.27,Buena
343,0.28,Buena
341,0.27,Buena
339,0.27,Buena
345,0.28,Buena
344,0.28,Buena
357,0.29,Buena
337,0.27,Buena
348,0.28,Buena
353,0.28,Buena
352,0.28,Buena
347,0.28,Buena
353,0.28,Buena
351,0.28,Buena
339,0.27,Buena
337,0.27,Buena
339,0.27,Buena
341,0.27,Buena
355,0.29,Buena
337,0.27,Buena
342,0.28,Buena
338,0.27,Buena
338,0.27,Buena
349,0.28,Buena
342,0.28,Buena
346,0.28,Buena
343,0.28,Buena
354,0.29,Buena
336,0.27,Buena
343,0.28,Buena
333,0.27,Buena
336,0.27,Buena
342,0.28,Buena
333,0.27,Buena
336,0.27,Buena
342,0.28,Buena
349,0.28,Buena
324,0.26,Buena
369,0.3,Buena
305,0.25,Buena
308,0.25,Buena
302,0.24,Buena
299,0.24,Buena
291,0.23,Buena
317,0.26,Buena
304,0.24,Buena
326,0.26,Buena
306,0.25,Buena
305,0.25,Buena
307,0.25,Buena
298,0.24,Buena
272,0.22,Buena
287,0.23,Buena
293,0.24,Buena
282,0.23,Buena
301,0.24,Buena
290,0.23,Buena
290,0.23,Buena
289,0.23,Buena
300,0.24,Buena
293,0.24,Buena
291,0.23,Buena
294,0.24,Buena
294,0.24,Buena
303,0.24,Buena
304,0.24,Buena
307,0.25,Buena
311,0.25,Buena
313,0.25,Buena
306,0.25,Buena
310,0.25,Buena
305,0.25,Buena
317,0.26,Buena
315,0.25,Buena
310,0.25,Buena
311,0.25,Buena
315,0.25,Buena
304,0.24,Buena
308,0.25,Buena
314,0.25,Buena
310,0.25,Buena
310,0.25,Buena
304,0.24,Buena
310,0.25,Buena
306,0.25,Buena
303,0.24,Buena
316,0.25,Buena
309,0.25,Buena
304,0.24,Buena
314,0.25,Buena
309,0.25,Buena
309,0.25,Buena
305,0.25,Buena
306,0.25,Buena
307,0.25,Buena
311,0.25,Buena
314,0.25,Buena
310,0.25,Buena
310,0.25,Buena
315,0.25,Buena
304,0.24,Buena
313,0.25,Buena
309,0.25,Buena
304,0.24,Buena
320,0.26,Buena
314,0.25,Buena
317,0.26,Buena
314,0.25,Buena
309,0.25,Buena
314,0.25,Buena
306,0.25,Buena
308,0.25,Buena
311,0.25,Buena
314,0.25,Buena
315,0.25,Buena
313,0.25,Buena
320,0.26,Buena
304,0.24,Buena
310,0.25,Buena
304,0.24,Buena
290,0.23,Buena
304,0.24,Buena
303,0.24,Buena
291,0.23,Buena
290,0.23,Buena
295,0.24,Buena
291,0.23,Buena
300,0.24,Buena
294,0.24,Buena
299,0.24,Buena
293,0.24,Buena
304,0.24,Buena
289,0.23,Buena
303,0.24,Buena
294,0.24,Buena
300,0.24,Buena
297,0.24,Buena
297,0.24,Buena
304,0.24,Buena
302,0.24,Buena
293,0.24,Buena
302,0.24,Buena
301,0.24,Buena
304,0.24,Buena
295,0.24,Buena
298,0.24,Buena
304,0.24,Buena
303,0.24,Buena
301,0.24,Buena
293,0.24,Buena
297,0.24,Buena
302,0.24,Buena
304,0.24,Buena
304,0.24,Buena
289,0.23,Buena
303,0.24,Buena
304,0.24,Buena
301,0.24,Buena
303,0.24,Buena
308,0.25,Buena
299,0.24,Buena
304,0.24,Buena
304,0.24,Buena
295,0.24,Buena
300,0.24,Buena
301,0.24,Buena
298,0.24,Buena
303,0.24,Buena
294,0.24,Buena
295,0.24,Buena
301,0.24,Buena
304,0.24,Buena
299,0.24,Buena
304,0.24,Buena
295,0.24,Buena
292,0.24,Buena
298,0.24,Buena
304,0.24,Buena
298,0.24,Buena
303,0.24,Buena
303,0.24,Buena
298,0.24,Buena
295,0.24,Buena
309,0.25,Buena
294,0.24,Buena
307,0.25,Buena
298,0.24,Buena
300,0.24,Buena
300,0.24,Buena
305,0.25,Buena
298,0.24,Buena
297,0.24,Buena
301,0.24,Buena
300,0.24,Buena
304,0.24,Buena
304,0.24,Buena
302,0.24,Buena
298,0.24,Buena
300,0.24,Buena
301,0.24,Buena
298,0.24,Buena
304,0.24,Buena
302,0.24,Buena
305,0.25,Buena
291,0.23,Buena
312,0.25,Buena
304,0.24,Buena
304,0.24,Buena
303,0.24,Buena
306,0.25,Buena
302,0.24,Buena
304,0.24,Buena
304,0.24,Buena
301,0.24,Buena
304,0.24,Buena
307,0.25,Buena
305,0.25,Buena
304,0.24,Buena
307,0.25,Buena
303,0.24,Buena
303,0.24,Buena
304,0.24,Buena
305,0.25,Buena
305,0.25,Buena
303,0.24,Buena
304,0.24,Buena
305,0.25,Buena
301,0.24,Buena
304,0.24,Buena
301,0.24,Buena
302,0.24,Buena
310,0.25,Buena
304,0.24,Buena
304,0.24,Buena
301,0.24,Buena
304,0.24,Buena
304,0.24,Buena
302,0.24,Buena
307,0.25,Buena
299,0.24,Buena
302,0.24,Buena
304,0.24,Buena
310,0.25,Buena
304,0.24,Buena
315,0.25,Buena
304,0.24,Buena
304,0.24,Buena
309,0.25,Buena
301,0.24,Buena
304,0.24,Buena
306,0.25,Buena
307,0.25,Buena
310,0.25,Buena
304,0.24,Buena
307,0.25,Buena
307,0.25,Buena
311,0.25,Buena
313,0.25,Buena
310,0.25,Buena
304,0.24,Buena
301,0.24,Buena
306,0.25,Buena
315,0.25,Buena
304,0.24,Buena
304,0.24,Buena
305,0.25,Buena
299,0.24,Buena
313,0.25,Buena
304,0.24,Buena
310,0.25,Buena
318,0.26,Buena
307,0.25,Buena
305,0.25,Buena
311,0.25,Buena
305,0.25,Buena
305,0.25,Buena
310,0.25,Buena
309,0.25,Buena
306,0.25,Buena
304,0.24,Buena
314,0.25,Buena
304,0.24,Buena
314,0.25,Buena
304,0.24,Buena
306,0.25,Buena
305,0.25,Buena
304,0.24,Buena
304,0.24,Buena
308,0.25,Buena
315,0.25,Buena
304,0.24,Buena
304,0.24,Buena
304,0.24,Buena
308,0.25,Buena
304,0.24,Buena
304,0.24,Buena
315,0.25,Buena
310,0.25,Buena
304,0.24,Buena
303,0.24,Buena
304,0.24,Buena
304,0.24,Buena
304,0.24,Buena
313,0.25,Buena
306,0.25,Buena
304,0.24,Buena
305,0.25,Buena
305,0.25,Buena
304,0.24,Buena
312,0.25,Buena
306,0.25,Buena
299,0.24,Buena
297,0.24,Buena
310,0.25,Buena
309,0.25,Buena
307,0.25,Buena
305,0.25,Buena
306,0.25,Buena
302,0.24,Buena
306,0.25,Buena
304,0.24,Buena
306,0.25,Buena
307,0.25,Buena
304,0.24,Buena
304,0.24,Buena
304,0.24,Buena
301,0.24,Buena
302,0.24,Buena
303,0.24,Buena
313,0.25,Buena
305,0.25,Buena
306,0.25,Buena
303,0.24,Buena
304,0.24,Buena
304,0.24,Buena
298,0.24,Buena
314,0.25,Buena
307,0.25,Buena
303,0.24,Buena
304,0.24,Buena
305,0.25,Buena
309,0.25,Buena
310,0.25,Buena
303,0.24,Buena
305,0.25,Buena
305,0.25,Buena
304,0.24,Buena
306,0.25,Buena
304,0.24,Buena
302,0.24,Buena
304,0.24,Buena
303,0.24,Buena
309,0.25,Buena
315,0.25,Buena
305,0.25,Buena
308,0.25,Buena
300,0.24,Buena
313,0.25,Buena
309,0.25,Buena
310,0.25,Buena
304,0.24,Buena
310,0.25,Buena
304,0.24,Buena
304,0.24,Buena
306,0.25,Buena
301,0.24,Buena
311,0.25,Buena
303,0.24,Buena
305,0.25,Buena
307,0.25,Buena
302,0.24,Buena
303,0.24,Buena
307,0.25,Buena
313,0.25,Buena
304,0.24,Buena
308,0.25,Buena
304,0.24,Buena
306,0.25,Buena
304,0.24,Buena
307,0.25,Buena
304,0.24,Buena
307,0.25,Buena
309,0.25,Buena
304,0.24,Buena
302,0.24,Buena
305,0.25,Buena
309,0.25,Buena
302,0.24,Buena
308,0.25,Buena
307,0.25,Buena
307,0.25,Buena
298,0.24,Buena
307,0.25,Buena
313,0.25,Buena
304,0.24,Buena
309,0.25,Buena
306,0.25,Buena
305,0.25,Buena
311,0.25,Buena
308,0.25,Buena
311,0.25,Buena
310,0.25,Buena
307,0.25,Buena
309,0.25,Buena
305,0.25,Buena
