fecha_hora,valor_sensor,voltaje
2024-10-16 22:25:58,162,0.13
2024-10-16 22:26:03,144,0.12
2024-10-16 22:26:08,144,0.12
2024-10-16 22:26:14,150,0.12
2024-10-16 22:26:19,148,0.12
2024-10-16 22:26:24,145,0.12
2024-10-16 22:26:29,148,0.12
2024-10-16 22:26:35,147,0.12
2024-10-16 22:26:52,142,0.11
2024-10-16 22:26:53,145,0.12
2024-10-16 22:26:54,143,0.12
2024-10-16 22:26:56,145,0.12
2024-10-16 22:26:57,151,0.12
2024-10-16 22:26:59,150,0.12
2024-10-16 22:27:00,133,0.11
2024-10-16 22:27:01,176,0.14
2024-10-16 22:27:03,171,0.14
2024-10-16 22:27:04,162,0.13
2024-10-16 22:27:05,176,0.14
2024-10-16 22:27:06,176,0.14
2024-10-16 22:27:08,170,0.14
2024-10-16 22:27:09,176,0.14
2024-10-16 22:27:10,176,0.14
2024-10-16 22:27:11,177,0.14
2024-10-16 22:27:13,186,0.15
2024-10-16 22:27:14,177,0.14
2024-10-16 22:27:15,167,0.13
2024-10-16 22:27:16,176,0.14
2024-10-16 22:27:18,174,0.14
2024-10-16 22:27:19,175,0.14
2024-10-16 22:27:20,177,0.14
2024-10-16 22:27:21,173,0.14
2024-10-16 22:27:23,177,0.14
2024-10-16 22:27:24,175,0.14
2024-10-16 22:27:25,175,0.14
2024-10-16 22:27:26,177,0.14
2024-10-16 22:27:28,176,0.14
2024-10-16 22:27:29,177,0.14
2024-10-16 22:27:30,177,0.14
2024-10-16 22:27:31,172,0.14
2024-10-16 22:27:33,181,0.15
2024-10-16 22:27:34,174,0.14
2024-10-16 22:27:35,179,0.14
2024-10-16 22:27:37,174,0.14
2024-10-16 22:27:38,176,0.14
2024-10-16 22:27:39,187,0.15
2024-10-16 22:27:40,185,0.15
2024-10-16 22:27:41,181,0.15
2024-10-16 22:27:43,176,0.14
2024-10-16 22:27:44,179,0.14
2024-10-16 22:27:45,177,0.14
2024-10-16 22:27:46,196,0.16
2024-10-16 22:27:48,189,0.15
2024-10-16 22:27:49,185,0.15
2024-10-16 22:27:50,187,0.15
2024-10-16 22:27:52,187,0.15
2024-10-16 22:27:53,189,0.15
2024-10-16 22:27:54,181,0.15
2024-10-16 22:27:55,181,0.15
2024-10-16 22:27:57,176,0.14
2024-10-16 22:27:58,176,0.14
2024-10-16 22:27:59,179,0.14
2024-10-16 22:28:00,176,0.14
2024-10-16 22:28:02,182,0.15
2024-10-16 22:28:03,183,0.15
2024-10-16 22:28:04,187,0.15
2024-10-16 22:28:05,183,0.15
2024-10-16 22:28:07,187,0.15
2024-10-16 22:28:08,182,0.15
2024-10-16 22:28:09,183,0.15
2024-10-16 22:28:10,177,0.14
